domain,ip1,ip2,ip3,ip4,ip5,ip6,mx1,mx2,,,,,,,,,
telmarpeaktime.fr, 64.235.154.140,64.235.150.252,64.235.154.105,64.235.154.109,64.235.153.10,64.235.153.2, d40298b.ess.barracudanetworks.com,d40298a.ess.barracudanetworks.com,,,,,,,,,
worldsleepproducts.com, 64.235.153.2,64.235.154.105,64.235.154.140,64.235.150.252,64.235.153.10,64.235.154.109, d35606a.ess.barracudanetworks.com,d35606b.ess.barracudanetworks.com,,,,,,,,,
araiamericas.com, 216.32.181.106,216.32.181.234,,,,, araiamericas-com.mail.protection.outlook.com,d18355a.ess.barracudanetworks.com,d18355b.ess.barracudanetworks.com,,,,,,,,
yanekcustom.com, 64.235.154.105,64.235.153.2,64.235.154.140,64.235.150.252,64.235.154.109,64.235.153.10, d67350b.ess.barracudanetworks.com,d67350a.ess.barracudanetworks.com,,,,,,,,,
ahsinc.org, 207.46.163.74,216.32.180.10,,,,, ahsinc-org.mail.protection.outlook.com,,,,,,,,,,
armonkadvisors.com, 207.46.163.10,216.32.180.42,,,,, armonkadvisors-com.mail.protection.outlook.com,,,,,,,,,,
algpartners.com, 209.85.202.27,,,,,, alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com,aspmx.l.google.com,alt1.aspmx.l.google.com,,,,,,
advancedsigning.com, 216.32.181.106,216.32.181.234,,,,, advancedsigning-com.mail.protection.outlook.com,,,,,,,,,,
batesfullam.com, 216.32.180.42,207.46.163.10,,,,, batesfullam-com.mail.protection.outlook.com,,,,,,,,,,
beachsalesinc.com, 64.235.154.140,64.235.154.109,64.235.154.105,64.235.150.252,64.235.153.10,64.235.153.2, d35591a.ess.barracudanetworks.com,d35591b.ess.barracudanetworks.com,,,,,,,,,
savantav.com, 64.235.154.105,64.235.154.140,64.235.150.252,64.235.154.109,64.235.153.2,64.235.153.10, d36244a.ess.barracudanetworks.com,d36244b.ess.barracudanetworks.com,,,,,,,,,
burkedist.com, 67.231.154.163, mx2-us1.ppe-hosted.com,mx1-us1.ppe-hosted.com,,,,,,,,,,,,,,
bylatty.com, 216.32.181.106,216.32.181.234, bylatty-com.mail.protection.outlook.com,,,,,,,,,,,,,,
capecodexp.com, 68.178.213.37,72.167.238.29,68.178.213.203, smtp.secureserver.net,mailstore1.secureserver.net,,,,,,,,,,,,
brush.com, 72.167.238.29,68.178.213.203,68.178.213.37, smtp.secureserver.net,mailstore1.secureserver.net,,,,,,,,,,,,
bandminsurance.com, 65.75.10.226, nog.artefactdesign.com,data.artefactdesign.com,,,,,,,,,,,,,,
chiengineering.com, 207.211.30.145,207.211.30.181,205.139.110.221,205.139.110.242,205.139.110.141,205.139.110.145,205.139.110.181,207.211.30.221,207.211.30.242,207.211.30.141, us-smtp-inbound-1.mimecast.com,us-smtp-inbound-2.mimecast.com,,,,,
csrk.com, 207.46.163.42,216.32.180.10, csrk-com.mail.protection.outlook.com,,,,,,,,,,,,,,
cubelink.net, 216.150.130.103, mail.cubelink.net,relay2.xand.com,,,,,,,,,,,,,,
crowntrophy.com, 64.235.150.252,64.235.153.10,64.235.154.140,64.235.154.105,64.235.153.2,64.235.154.109, d39758a.ess.barracudanetworks.com,relay2.xand.com,d39758b.ess.barracudanetworks.com,,,,,,,,
curleyins.com, 65.75.10.226, nog.artefactdesign.com,data.artefactdesign.com,,,,,,,,,,,,,,
desantis7.com, 216.150.131.212, relay2.xand.com,d39755b.ess.barracudanetworks.com,d39755a.ess.barracudanetworks.com,,,,,,,,,,,,,
curryhondaga.com, 216.32.180.10,207.46.163.42, curryhondaga-com.mail.protection.outlook.com,,,,,,,,,,,,,,
dpi-boston.com, 207.46.163.74,216.32.180.10, dpiboston-com0i.mail.protection.outlook.com,,,,,,,,,,,,,,
elinsurance.com, 204.232.236.141, elinsurance.com.2.0001.arsmtp.com,elinsurance.com.1.0001.arsmtp.com,,,,,,,,,,,,,,
eiqnetworks.com, 216.32.181.106,216.32.181.234, eiqnetworks-com.mail.protection.outlook.com,,,,,,,,,,,,,,
fonar.com, 199.193.205.130, west.smtp.exch083.serverdata.net,east.smtp.exch083.serverdata.net,,,,,,,,,,,,,,
framinghamwelding.com, 64.233.186.27, ALT1.ASPMX.L.GOOGLE.com,ALT2.ASPMX.L.GOOGLE.com,ALT3.ASPMX.L.GOOGLE.com,ALT4.ASPMX.L.GOOGLE.com,ASPMX.L.GOOGLE.com,,,,,,,,,,,
exchange.telmar.com, 64.235.153.2,64.235.150.252,64.235.154.140,64.235.154.109,64.235.154.105,64.235.153.10, d40289a.ess.barracudanetworks.com,d40289b.ess.barracudanetworks.com,relay2.xand.com,,,,,,,,
hylinecruises.com, 8.21.84.164, mail.hylinecruises.com,mail.hylinecruises.com,,,,,,,,,,,,,,
gerritystone.com, 207.46.163.10,216.32.180.42, gerritystone-com.mail.protection.outlook.com,,,,,,,,,,,,,,
junemedia.com, 173.203.187.2, mx2.emailsrvr.com,mx1.emailsrvr.com,,,,,,,,,,,,,,
glinesandrhodes.com, 216.32.181.106,216.32.181.74, glinesandrhodes-com.mail.protection.outlook.com,,,,,,,,,,,,,,
iesnyc.com, 64.233.186.27, alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com,,,,,,,,,,,
greenwood-industries.com, 64.14.76.226, filter1.directitcorp.com,filter2.directitcorp.com,,,,,,,,,,,,,,
imanet.org, 64.235.153.10,64.235.150.252,64.235.153.2,64.235.154.109,64.235.154.140,64.235.154.105, d39263a.ess.barracudanetworks.com,relay2.xand.com,d39263b.ess.barracudanetworks.com,,,,,,,,
karas.net, 216.52.72.121, mx.zoho.com,mx3.zoho.com,mx2.zoho.com,,,,,,,,,,,,,
keanefire.com, 208.70.211.233, asp.reflexion.net,mx-100.reflexion.net,,,,,,,,,,,,,,
hudsonlight.com, 206.188.198.64, inbound.hudsonlight.com.netsolmail.net,,,,,,,,,,,,,,,
lamoureuxford.com, 209.85.202.27, ALT2.ASPMX.L.GOOGLE.com,ASPMX.L.GOOGLE.com,ALT3.ASPMX.L.GOOGLE.com,ALT4.ASPMX.L.GOOGLE.com,ALT1.ASPMX.L.GOOGLE.com,,,,,,,,,,,
krolltechnologies.com, 207.46.163.215,207.46.163.170,207.46.163.247, krolltechnologies-com.mail.protection.outlook.com,,,,,,,,,,,,,
knoxtherapy.com, 216.32.180.106,216.32.181.42, knoxtherapy-com.mail.protection.outlook.com,,,,,,,,,,,,,,
mail.telmar.com, 64.235.154.105,64.235.150.252,64.235.153.10,64.235.153.2,64.235.154.140,64.235.154.109, d40292a.ess.barracudanetworks.com,relay2.xand.com,,,,,,,,,
lamford.com, 173.194.175.27, ASPMX.L.GOOGLE.com,ALT1.ASPMX.L.GOOGLE.com,ALT2.ASPMX.L.GOOGLE.com,ALT3.ASPMX.L.GOOGLE.com,ALT4.ASPMX.L.GOOGLE.com,,,,,,,,,,,
leonardagency.com, 65.75.10.226, nog.artefactdesign.com,data.artefactdesign.com,,,,,,,,,,,,,,
mafood.com, 207.46.163.10,216.32.181.10, mafood-com.mail.protection.outlook.com,,,,,,,,,,,,,,
mayaud.com, 209.85.201.26, ASPMX.L.GOOGLE.com,ALT1.ASPMX.L.GOOGLE.com,ALT2.ASPMX.L.GOOGLE.com,ASPMX2.GOOGLE.com,ASPMX3.GOOGLE.com,,,,,,,,,,,
krieghoff.com, 207.46.163.42,216.32.180.10, krieghoff-com.mail.protection.outlook.com,,,,,,,,,,,,,,
micro-coax.com, 207.46.163.170,207.46.163.247,207.46.163.215, microcoax-com01c.mail.protection.outlook.com,carlisleit-com.mail.protection.outlook.com,,,,,,,,,,,,
matherenterprises.com, 216.32.181.42,216.32.180.106, matherenterprises-com.mail.protection.outlook.com,,,,,,,,,,,,,,
mfpstrategies.com, 205.139.110.181,207.211.30.221,207.211.30.242,207.211.30.141,207.211.30.145,207.211.30.181,205.139.110.221,205.139.110.242,205.139.110.141,205.139.110.145, us-smtp-inbound-2.mimecast.com,us-smtp-inbound-1.mimecast.com,,,,,
myneps.com, 64.235.154.109,64.235.150.252,64.235.153.2,64.235.154.105,64.235.154.140,64.235.153.10, d35540a.ess.barracudanetworks.com,,,,,,,,,,
marotto.org, 216.32.181.106,216.32.181.74, marotto-org.mail.protection.outlook.com,,,,,,,,,,,,,,
mrg-inc.com, 216.32.181.74,216.32.181.106, mrginc-com0i.mail.protection.outlook.com,,,,,,,,,,,,,,
newamerica-hyb.com, 216.32.180.106,216.32.181.42, newamericahyb-com02e.mail.protection.outlook.com,,,,,,,,,,,,,,
opticaldg.com, 207.211.30.181,205.139.110.221,205.139.110.242,205.139.110.141,205.139.110.145,205.139.110.181,207.211.30.221,207.211.30.242,207.211.30.141,207.211.30.145, us-smtp-inbound-1.mimecast.com,us-smtp-inbound-2.mimecast.com,,,,,
monfreight.com, 5.152.185.140, monfreight.com.1.0001.arsmtp.com,monfreight.com.2.0001.arsmtp.com,,,,,,,,,,,,,,
neweratickets.com, 173.15.141.106, winmail.neweratickets.com,,,,,,,,,,,,,,,
nreob.com, 64.235.154.105,64.235.154.109,64.235.154.140,64.235.153.2,64.235.153.10,64.235.150.252, d35651a.ess.barracudanetworks.com,,,,,,,,,,
nemitz.com, 68.70.58.67, mx4.fltg.com,,,,,,,,,,,,,,,
newenglandsales.com, 207.46.163.10,216.32.181.10, newenglandsales-com.mail.protection.outlook.com,,,,,,,,,,,,,,
pack-spec.com, 67.231.154.162, mx1-us1.ppe-hosted.com,mx2-us1.ppe-hosted.com,,,,,,,,,,,,,,
silvercarrot.com, 173.203.187.2, mx2.emailsrvr.com,mx1.emailsrvr.com,,,,,,,,,,,,,,
promarketing-ne.com, 207.46.163.10,216.32.180.42, promarketingne-com03b.mail.protection.outlook.com,,,,,,,,,,,,,,
spencertech.com, 216.32.180.10,207.46.163.42, spencertech-com.mail.protection.outlook.com,,,,,,,,,,,,,,
newenglandsalesinc.com, 209.17.115.10, inbound.newenglandsalesinc.com.netsolmail.net,,,,,,,,,,,,,,,
redstripeinc.com, 66.39.65.156, mail1.g13.pair.com,,,,,,,,,,,,,,,
sonis.com, 207.211.30.221,207.211.30.242,207.211.30.141,207.211.30.145,207.211.30.181,205.139.110.221,205.139.110.242,205.139.110.141,205.139.110.145,205.139.110.181, us-smtp-inbound-2.mimecast.com,us-smtp-inbound-1.mimecast.com,,,,,
rocmar.net, 216.32.181.106,216.32.181.234, rocmar-net.mail.protection.outlook.com,,,,,,,,,,,,,,
rasansky.com, 216.52.73.55, mx2.zoho.com,mx.zoho.com,mx3.zoho.com,,,,,,,,,,,,,
striker.org, 216.150.131.212, relay2.xand.com,d39278a.ess.barracudanetworks.com,d39278b.ess.barracudanetworks.com,striker-org.mail.protection.outlook.com,,,,,,,,,,,,
teamca.net, 68.178.213.243,68.178.213.244,72.167.238.32, mailstore1.secureserver.net,smtp.secureserver.net,,,,,,,,,,,,
techsoftinc.com, 216.32.180.170,216.32.181.170, techsoftinc-com.mail.protection.outlook.com,,,,,,,,,,,,,,
stjcemetery.com, 207.46.163.10,216.32.181.10, stjcemetery-com.mail.protection.outlook.com,,,,,,,,,,,,,,
supplyne.com, 216.32.180.170,216.32.181.170, supplyne-com.mail.protection.outlook.com,,,,,,,,,,,,,,
trophydirect.com, 64.235.153.2,64.235.154.140,64.235.154.109,64.235.154.105,64.235.153.10,64.235.150.252, d39769a.ess.barracudanetworks.com,relay2.xand.com,d39769b.ess.barracudanetworks.com,,,,,,,,
telmar.com.hk, 209.85.201.26, telmar.com.s6a1.psmtp.com,telmar.com.s6a2.psmtp.com,telmar.com.s6b1.psmtp.com,telmar.com.s6b2.psmtp.com,d40293a.ess.barracudanetworks.com,d40293b.ess.barracudanetworks.com,,,,,,,,,,
upbyseven.com, 144.208.76.173, mail.upbyseven.com,,,,,,,,,,,,,,,
telmarpacific.com.au, 64.235.154.140,64.235.153.2,64.235.150.252,64.235.153.10,64.235.154.109,64.235.154.105, d40294a.ess.barracudanetworks.com,d40294b.ess.barracudanetworks.com,telmarpacific.com.au.s6a2.psmtp.com,telmarpacific.com.au.s6b1.psmtp.com,telmarpacific.com.au.s6b2.psmtp.com,relay2.xand.com,telmarpacific.com.au.s6a1.psmtp.com,,,,
thebrownco.com, 216.32.180.106,216.32.181.42, thebrownco-com.mail.protection.outlook.com,,,,,,,,,,,,,,
yaleappliance.com, 173.203.187.2, Mx2.emailsrvr.com,Mx1.emailsrvr.com,,,,,,,,,,,,,,
wlfd.net, 64.235.154.109,64.235.153.2,64.235.154.140,64.235.150.252,64.235.154.105,64.235.153.10, d39756b.ess.barracudanetworks.com,relay2.xand.com,d39756a.ess.barracudanetworks.com,,,,,,,,
welshparker.com, 204.155.61.74, exch3.insuremail.com,exch.insuremail.com,,,,,,,,,,,,,,
yorn.com, 64.233.186.27, alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,aspmx.l.google.com,alt4.aspmx.l.google.com,,,,,,,,,,,
yaros4.com, 199.193.205.130, west.smtp.exch083.serverdata.net,east.smtp.exch083.serverdata.net,,,,,,,,,,,,,,
adcomputer.com, 207.211.30.242,207.211.30.141,207.211.30.145,207.211.30.181,205.139.110.221,205.139.110.242,205.139.110.141,205.139.110.145,205.139.110.181,207.211.30.221, us-smtp-inbound-2.mimecast.com,us-smtp-inbound-1.mimecast.com,,,,,
vesconite.com, 108.163.228.170,96.127.176.250,69.175.69.90,184.154.177.50,184.154.48.170,96.127.190.2,108.163.201.226,184.154.208.34,108.163.220.50,184.154.58.226, mx10.mailspamprotection.com,mx20.mailspamprotection.com,mx30.mailspamprotection.com,,,,
volpetool.com, 205.178.149.7, mx07.register.com,,,,,,,,,,,,,,,
telmar.co.uk, 64.235.154.140,64.235.154.109,64.235.153.2,64.235.153.10,64.235.154.105,64.235.150.252, d40295b.ess.barracudanetworks.com,relay2.xand.com,d40295a.ess.barracudanetworks.com,,,,,,,,
telmarpeaktime.nl, 64.235.153.2,64.235.154.105,64.235.150.252,64.235.153.10,64.235.154.140,64.235.154.109, d40300b.ess.barracudanetworks.com,relay2.xand.com,d40300a.ess.barracudanetworks.com,,,,,,,,
axsne.com, 148.163.148.255, mxa-00279c01.gslb.pphosted.com,mxb-00279c01.gslb.pphosted.com,,,,,,,,,,,,,,
dbsintl.net, 148.163.148.255, mxa-00279c01.gslb.pphosted.com,mxb-00279c01.gslb.pphosted.com,,,,,,,,,,,,,,
clients.dbsintl.com, 64.235.154.105,64.235.153.2,64.235.154.109,64.235.153.10,64.235.150.252,64.235.154.140, d25849a.ess.barracudanetworks.com,d25849b.ess.barracudanetworks.com,,,,,,,,,
dbsintl.com, 148.163.148.255, mxa-00279c01.gslb.pphosted.com,mxb-00279c01.gslb.pphosted.com,,,,,,,,,,,,,,
xand.com, 148.163.148.255, mxa-00279c01.gslb.pphosted.com,mxb-00279c01.gslb.pphosted.com,,,,,,,,,,,,,,
njfairplan.org, 199.193.205.130, west.smtp.exch083.serverdata.net,east.smtp.exch083.serverdata.net,,,,,,,,,,,,,,
mwylaw.com, 199.193.205.130, west.smtp.exch083.serverdata.net,east.smtp.exch083.serverdata.net,,,,,,,,,,,,,,
dbsintl.org, 64.235.153.2,64.235.154.109,64.235.150.252,64.235.154.140,64.235.154.105,64.235.153.10, d18383b.ess.barracudanetworks.com,backupmail.dbsintl.com,d18383a.ess.barracudanetworks.com,,,,,,,,
tierpoint.com, 148.163.158.113, mxb-00279c01.gslb.pphosted.com,mxa-00279c01.gslb.pphosted.com,,,,,,,,,,,,,,
aapllc.net, 68.178.213.244,72.167.238.32,68.178.213.243, mailstore1.secureserver.net,smtp.secureserver.net,,,,,,,,,,,,
cequel3.com, 148.163.148.255, mxa-00279c01.gslb.pphosted.com,mxb-00279c01.gslb.pphosted.com,,,,,,,,,,,,,,
aborgesllc.com, 216.32.180.106,216.32.181.42, aborgesllc-com.mail.protection.outlook.com,,,,,,,,,,,,,,
njiua.org, 162.216.194.241, east.smtp.exch083.serverdata.net,west.smtp.exch083.serverdata.net,,,,,,,,,,,,,,
additionalpersonnel.com, 216.32.180.42,207.46.163.10, additionalpersonnel-com.mail.protection.outlook.com,,,,,,,,,,,,,,
allthingsweb2.com, 108.61.117.225, allthingsweb2.com,,,,,,,,,,,,,,,
bellavitashoes.com, 67.231.154.163, mx2-us1.ppe-hosted.com,mx1-us1.ppe-hosted.com,,,,,,,,,,,,,,
becirb.com, 216.32.180.170,216.32.181.170, becirb-com.mail.protection.outlook.com,,,,,,,,,,,,,,
baldwinweb.com, 204.155.62.74, exch.insuremail.com,exch3.insuremail.com,,,,,,,,,,,,,,
capecodcustomtours.com, 8.21.84.164, mail.capecodcustomtours.com,,,,,,,,,,,,,,,
beastbox.net, 38.113.116.193,216.163.176.32,216.163.188.32, p.webcom.ctmail.com,,,,,,,,,,,,,
cx-data.net, 216.48.112.233, mail.cx-data.net,,,,,,,,,,,,,,,
caaconsult.com, 198.133.159.139,198.133.159.136,198.133.159.124,198.133.159.122,198.133.159.123,198.133.159.137,198.133.159.121,198.133.159.135,198.133.159.119,198.133.159.133,198.133.159.134,198.133.159.126,198.133.159.120,198.133.159.138,198.133.159.125,198.133.159.132, mail.b-io.co
costellonh.com, 65.75.10.226, nog.artefactdesign.com,data.artefactdesign.com,,,,,,,,,,,,,,
dc-reps.com, 216.32.181.106,216.32.181.74, dcreps-com0e.mail.protection.outlook.com,,,,,,,,,,,,,,
discountdeskco.com, 66.96.140.114,66.96.140.115, mx.discountdeskco.com,,,,,,,,,,,,,,
diversenetworksllc.com, 216.32.180.10,207.46.163.42, diversenetworksllc-com.mail.protection.outlook.com,,,,,,,,,,,,,,
bbraunusa.com, 92.242.140.21, mx541.us.emailfiltering.com,mx542.us.emailfiltering.com,mx543.us.emailfiltering.com,,,,,,,,,,,,,
drain-doctor.com, 207.46.163.10,216.32.180.42, draindoctor-com01c.mail.protection.outlook.com,,,,,,,,,,,,,,
easystreetshoes.com, 67.231.154.163, mx2-us1.ppe-hosted.com,mx1-us1.ppe-hosted.com,,,,,,,,,,,,,,
expressitdelivery.com, 216.32.180.170,216.32.181.170, expressitdelivery-com.mail.protection.outlook.com,,,,,,,,,,,,,,
edoceosolutions.com, 209.85.201.26, edoceosolutions.com.s7a1.psmtp.com,edoceosolutions.com.s7a2.psmtp.com,edoceosolutions.com.s7b1.psmtp.com,edoceosolutions.com.s7b2.psmtp.com,,,,,,,,,,,,
deckfastener.com, 64.29.151.237, mx2c40.carrierzone.com,mx1c40.carrierzone.com,mx3c40.carrierzone.com,,,,,,,,,,,,,
eyeboston.com, 69.147.178.24, mail1.eyeboston.com,mail2.eyeboston.com,,,,,,,,,,,,,,
exsifworldwide.com, 64.233.186.27, exsifww.com.s6a2.psmtp.com,exsifww.com.s6b2.psmtp.com,exsifww.com.s6a1.psmtp.com,relay2.xand.com,exsifww.com.s6b1.psmtp.com,,,,,,,,,,,
handy-1.com, 209.85.202.27, handyharman.com.mail7.psmtp.com,handyharman.com.mail8.psmtp.com,handyharman.com.mail6.psmtp.com,handyharman.com.mail5.psmtp.com,relay2.xand.com,,,,,,,,,,,
exsifchina.com, 209.85.201.26, exsifchina.com.s6a1.psmtp.com,exsifchina.com.s6b2.psmtp.com,exsifchina.com.s6a2.psmtp.com,relay2.xand.com,exsifchina.com.s6b1.psmtp.com,,,,,,,,,,,
jumatechnology.com, 173.239.2.189, mx7.jumatechnology.com,,,,,,,,,,,,,,,
camelotemb.com, 192.185.189.217, mail.camelotemb.com,,,,,,,,,,,,,,,
handy-one.com, 64.233.186.27, handyharman.com.mail6.psmtp.com,handyharman.com.mail7.psmtp.com,handyharman.com.mail8.psmtp.com,relay2.xand.com,handyharman.com.mail5.psmtp.com,,,,,,,,,,,
irbmanager.com, 216.32.180.170,216.32.181.170, irbmanager-com.mail.protection.outlook.com,,,,,,,,,,,,,,
kingstreetband.com, 23.229.206.227, mail.kingstreetband.com,,,,,,,,,,,,,,,
lfoleary.com, 64.233.186.27, ALT1.ASPMX.L.GOOGLE.com,ALT2.ASPMX.L.GOOGLE.com,ASPMX.L.GOOGLE.com,ASPMX2.GOOGLEMAIL.com,ASPMX3.GOOGLEMAIL.com,,,,,,,,,,,
hollisagency.com, 216.32.181.42,216.32.180.106, hollisagency-com.mail.protection.outlook.com,,,,,,,,,,,,,,
lchdirect.com, 216.70.64.198, mail.lchdirect.com,,,,,,,,,,,,,,,
metrologyservicesinc.com, 64.233.186.27, ALT1.ASPMX.L.GOOGLE.com,ALT2.ASPMX.L.GOOGLE.com,ASPMX.L.GOOGLE.com,ASPMX2.GOOGLEMAIL.com,ASPMX3.GOOGLEMAIL.com,,,,,,,,,,,
ns-data.com, 67.231.154.162, mx1-us1.ppe-hosted.com,mx2-us1.ppe-hosted.com,,,,,,,,,,,,,,
omgroofing.com, 205.139.110.221,205.139.110.242,205.139.110.141,205.139.110.145,205.139.110.181,207.211.30.221,207.211.30.242,207.211.30.141,207.211.30.145,207.211.30.181, us-smtp-inbound-1.mimecast.com,us-smtp-inbound-2.mimecast.com,,,,,
ontimecompanies.com, 67.231.154.162, mx1-us1.ppe-hosted.com,mx2-us1.ppe-hosted.com,,,,,,,,,,,,,,
packagingsbest.com, 72.167.238.32,68.178.213.243,68.178.213.244, mailstore1.secureserver.net,smtp.secureserver.net,,,,,,,,,,,,
pjhayes.com, 173.203.187.2, mx2.emailsrvr.com,mx1.emailsrvr.com,,,,,,,,,,,,,,
